BR,3,5,3,1,0.7122
BR,3,5,3,2,0.6997
BR,3,5,3,3,0.8081
BR,3,5,3,4,0.7415
BR,3,5,3,5,0.7089
BR,3,5,3,6,0.7293
BR,3,5,3,7,0.5628
BR,3,5,3,8,0.7149
BR,3,5,3,9,0.6631
BR,3,5,3,10,0.7411
ECV,3,5,3,1,0.7703
ECV,3,5,3,2,0.9058
ECV,3,5,3,3,0.6316
ECV,3,5,3,4,0.8986
ECV,3,5,3,5,0.7596
ECV,3,5,3,6,0.7894
ECV,3,5,3,7,0.8045
ECV,3,5,3,8,0.7144
ECV,3,5,3,9,0.9096
ECV,3,5,3,10,0.8224
FF,3,5,3,1,0.9322
FF,3,5,3,2,0.8993
FF,3,5,3,3,0.9348
FF,3,5,3,4,0.8911
FF,3,5,3,5,0.8696
FF,3,5,3,6,0.8836
FF,3,5,3,7,0.9302
FF,3,5,3,8,0.9253
FF,3,5,3,9,0.8712
FF,3,5,3,10,0.8504
