BR,3,5,3,1,0.7471
BR,3,5,3,2,0.7124
BR,3,5,3,3,0.7270
BR,3,5,3,4,0.5404
BR,3,5,3,5,0.7360
BR,3,5,3,6,0.7632
BR,3,5,3,7,0.5060
BR,3,5,3,8,0.6718
BR,3,5,3,9,0.7093
BR,3,5,3,10,0.7457
BR,4,5,3,1,0.7770
BR,4,5,3,2,0.7055
BR,4,5,3,3,0.6694
BR,4,5,3,4,0.5520
BR,4,5,3,5,0.6486
BR,4,5,3,6,0.6660
BR,4,5,3,7,0.5636
BR,4,5,3,8,0.7121
BR,4,5,3,9,0.6933
BR,4,5,3,10,0.7036
BR,5,5,3,1,0.7268
BR,5,5,3,2,0.5703
BR,5,5,3,3,0.5059
BR,5,5,3,4,0.7379
BR,5,5,3,5,0.6877
BR,5,5,3,6,0.6734
BR,5,5,3,7,0.6724
BR,5,5,3,8,0.6857
BR,5,5,3,9,0.6704
BR,5,5,3,10,0.6923
BR,6,5,3,1,0.5238
BR,6,5,3,2,0.5198
BR,6,5,3,3,0.6016
BR,6,5,3,4,0.5523
BR,6,5,3,5,0.4713
BR,6,5,3,6,0.6452
BR,6,5,3,7,0.5429
BR,6,5,3,8,0.5803
BR,6,5,3,9,0.6119
BR,6,5,3,10,0.4846
BR,7,5,3,1,0.5239
BR,7,5,3,2,0.5155
BR,7,5,3,3,0.5384
BR,7,5,3,4,0.3720
BR,7,5,3,5,0.5865
BR,7,5,3,6,0.5074
BR,7,5,3,7,0.5723
BR,7,5,3,8,0.4735
BR,7,5,3,9,0.5726
BR,7,5,3,10,0.5472
BR,8,5,3,1,0.4999
BR,8,5,3,2,0.5666
BR,8,5,3,3,0.5287
BR,8,5,3,4,0.5042
BR,8,5,3,5,0.4854
BR,8,5,3,6,0.5281
BR,8,5,3,7,0.4853
BR,8,5,3,8,0.5052
BR,8,5,3,9,0.3888
BR,8,5,3,10,0.5536
BR,9,5,3,1,0.4247
BR,9,5,3,2,0.4826
BR,9,5,3,3,0.4882
BR,9,5,3,4,0.5197
BR,9,5,3,5,0.4477
BR,9,5,3,6,0.5218
BR,9,5,3,7,0.4872
BR,9,5,3,8,0.5015
BR,9,5,3,9,0.5192
BR,9,5,3,10,0.5053
ECV,3,5,3,1,0.6641
ECV,3,5,3,2,0.8102
ECV,3,5,3,3,0.8670
ECV,3,5,3,4,0.7801
ECV,3,5,3,5,0.8545
ECV,3,5,3,6,0.7661
ECV,3,5,3,7,0.8042
ECV,3,5,3,8,0.8760
ECV,3,5,3,9,0.8697
ECV,3,5,3,10,0.8705
ECV,4,5,3,1,0.6670
ECV,4,5,3,2,0.7116
ECV,4,5,3,3,0.6513
ECV,4,5,3,4,0.8829
ECV,4,5,3,5,0.8996
ECV,4,5,3,6,0.6615
ECV,4,5,3,7,0.8752
ECV,4,5,3,8,0.7423
ECV,4,5,3,9,0.6415
ECV,4,5,3,10,0.6610
ECV,5,5,3,1,0.6037
ECV,5,5,3,2,0.6634
ECV,5,5,3,3,0.8043
ECV,5,5,3,4,0.6684
ECV,5,5,3,5,0.6181
ECV,5,5,3,6,0.7399
ECV,5,5,3,7,0.6892
ECV,5,5,3,8,0.6893
ECV,5,5,3,9,0.7488
ECV,5,5,3,10,0.6640
ECV,6,5,3,1,0.7719
ECV,6,5,3,2,0.7256
ECV,6,5,3,3,0.6560
ECV,6,5,3,4,0.6004
ECV,6,5,3,5,0.6160
ECV,6,5,3,6,0.7205
ECV,6,5,3,7,0.6607
ECV,6,5,3,8,0.6419
ECV,6,5,3,9,0.6168
ECV,6,5,3,10,0.8426
ECV,7,5,3,1,0.6112
ECV,7,5,3,2,0.6160
ECV,7,5,3,3,0.5952
ECV,7,5,3,4,0.5961
ECV,7,5,3,5,0.6131
ECV,7,5,3,6,0.5777
ECV,7,5,3,7,0.7372
