abm,k,score,labels
BR,3,0.7621
BR,4,0.7391
BR,5,0.7194
BR,6,0.6966
BR,7,0.6695
BR,8,0.6283
BR,9,0.5768
BR,10,0.5562
ECV,3,0.8935
ECV,4,0.8717
ECV,5,0.8308
ECV,6,0.8318
ECV,7,0.8217
ECV,8,0.8213
ECV,9,0.6675
ECV,10,0.6689
FF,3,0.9723
FF,4,0.9636
FF,5,0.9487
FF,6,0.9342
FF,7,0.9254
FF,8,0.9131
FF,9,0.8936
FF,10,0.8929
abm,k,score,labels
BR,3,0.7507
BR,4,0.6895
BR,5,0.6860
BR,6,0.6851
BR,7,0.6635
BR,8,0.5879
BR,9,0.5861
BR,10,0.5459
ECV,3,0.8955
ECV,4,0.8872
ECV,5,0.8249
ECV,6,0.8245
ECV,7,0.8065
ECV,8,0.7759
ECV,9,0.7754
ECV,10,0.7769
FF,3,0.9683
FF,4,0.9646
FF,5,0.9379
FF,6,0.9372
FF,7,0.9189
FF,8,0.9189
FF,9,0.9111
FF,10,0.9111
