1456,533,314,297,317,320,347,350,395,399,417,442,452,482,493,516,555,562,582,612,608,624,653,666,676,700,712,727,730,750,773,800,786,810,833,840,834,865,827,827,836,828,839,838,853,841,846,849,840,837,847,835,847,845,815,806,803,804,795,809,814,811,832,828,832,842,845,857,835,815,813,814,823,813,823,812,811,805,806,811,821,833,833,814,819,833,830,832,842,836,837,841,843,847,841,847,824,803,796,790,800,796,805,787,795,809,810,807,817,815,829,834,836,825,827,837,830,844,838,820,817,775,725,687,686,723,711,714,714,727,714,725,742,730,735,724,743,759,770,765,786,804,809,807,815,827,796,790,813,801,801,802,819,822,822,833,832,805,819,824,819,814,822,795,804,791,794,793,789,800,800,801,776,754,767,780,760,775,782,785,789,782,769,762,749,739,765,755,773,775,798,784,798,789,777,767,758,764,761,777,789,794,799,796,775,782,766,792,794,798,812,803,813,817,837,831,821,823,823,820,839,840,837,826,831,808,810,817,799,806,823,812,838,827,829,846,833,852,854,841,859,857,860,871,846,856,843,847,848,856,852,857
1111,1020,1021,1022,1019,1021,1020,1022,1021,1020,1025,1020,1021,1020,1020,1019,1018,1023,1020,1023,1024,1024,1021,1026,1022,1020,1020,1027,1022,1026,1029,1028,1021,1020,1022,1020,1023,1021,1019,1025,1025,1021,1022,1025,1020,1021,1026,1023,1023,1026,1021,1022,1026,1024,1024,1025,1022,1024,1025,1020,1023,1023,1024,1023,1024,1021,1021,1021,1020,1024,1022,1023,1025,1025,1023,1023,1023,1024,1020,1018,1025,1021,1025,1028,1023,1021,1025,1022,1023,1023,1022,1018,1022,1025,1025,1019,1022,1026,1028,1023,1022,1025,1024,1021,1023,1019,1024,1025,1023,1019,1024,1022,1025,1024,1023,1024,1028,1021,1022,1022,1023,1021,1023,1026,1019,1024,1026,1019,1024,1025,1025,1028,1020,1020,1024,1022,1024,1024,1023,1021,1020,1024,1019,1023,1024,1022,1028,1022,1023,1025,1022,1021,1023,1025,1024,1022,1025,1021,1022,1020,1020,1021,1028,1020,1021,1024,1024,1021,1020,1021,1027,1025,1020,1022,1024,1024,1023,1021,1026,1025,1022,1023,1020,1022,1025,1026,1023,1022,1026,1025,1021,1025,1026,1024,1024,1023,1026,1018,1023,1025,1020,1024,1024,1021,1023,1018,1030,1020,1020,1027,1021,1019,1024,1023,1025,1025,1020,1024,1018,1025,1021,1025,1023,1022,1025,1024,1021,1029,1026,1019,1023,1021,1021,1020,1024,1022,1021,1028,1021,1026,1021,1025,1022,1019,1028,1023,1020,1025,1021,1021,1023,1024
1210,865,875,868,869,873,870,870,873,874,880,878,879,881,879,879,877,874,887,881,883,883,885,882,882,889,888,884,885,888,887,888,878,878,878,884,884,874,883,881,875,881,880,893,885,882,880,882,880,877,884,880,877,874,887,888,895,881,887,888,882,885,882,886,879,878,880,884,877,885,884,885,877,882,883,881,880,881,889,878,883,878,886,883,886,879,880,879,881,876,875,880,883,881,881,884,878,882,882,881,876,880,883,878,883,880,885,880,886,887,881,887,881,889,875,883,879,875,884,879,882,881,888,880,881,887,882,883,878,885,874,881,888,882,883,885,882,884,886,874,872,881,886,884,881,875,884,890,872,880,889,890,878,886,877,880,885,886,873,877,884,888,884,882,876,888,872,891,886,882,880,877,881,884,877,876,886,888,884,880,882,874,878,885,878,879,880,886,879,888,888,880,883,878,886,881,879,883,884,885,875,878,876,882,882,884,879,889,884,874,874,884,888,887,884,878,886,879,880,889,878,882,877,876,879,880,877,884,878,888,881,881,881,881,883,886,882,883,890,882,882,881,882,881,882,874,889,875,883,887,881,883
1498,560,409,404,392,394,396,410,404,397,412,410,410,410,415,411,417,419,413,414,413,428,422,429,424,416,408,420,411,417,419,435,423,423,413,429,435,423,421,434,436,424,422,424,419,418,436,426,437,407,427,422,424,426,427,420,426,428,434,435,428,421,424,430,430,425,421,428,429,431,425,425,428,420,429,429,432,428,422,422,418,424,427,436,439,446,435,439,450,432,429,421,411,422,419,429,434,424,428,433,436,429,426,409,427,419,417,425,426,423,422,427,418,435,418,421,423,426,431,422,436,433,422,443,430,431,426,423,413,429,430,426,430,412,422,441,427,425,426,419,426,414,434,431,420,423,418,420,435,433,430,419,422,420,412,429,429,429,433,431,428,428,437,438,438,427,432,430,434,424,410,426,428,424,433,429,421,430,418,429,429,419,426,414,436,422,435,425,428,422,418,429,433,428,440,424,433,421,422,438,429,431,425,428,421,424,416,428,423,421,427,427,434,411,426,416,422,421,427,413,429,431,422,428,413,421,420,412,418,437,425,437,430,416,432,432,434,422,425,426,411,427,436,425,426,410,422,415,411,416,426,427
1577,437,327,318,325,322,326,326,321,329,332,335,329,337,341,346,339,338,334,333,335,329,336,340,339,344,350,340,337,345,355,352,350,353,354,348,343,348,349,345,356,355,340,349,355,362,355,351,349,352,358,354,349,349,349,352,359,346,355,359,356,349,357,342,339,342,338,348,346,348,343,334,336,332,341,349,343,339,346,350,341,338,351,356,344,346,344,353,347,341,340,350,343,349,341,345,346,344,344,345,343,344,342,338,351,342,342,347,343,347,347,337,338,347,345,346,347,350,347,349,344,355,348,348,347,340,340,342,345,345,353,342,347,345,352,341,348,341,345,338,334,336,343,346,352,342,346,342,355,337,348,347,355,350,347,344,341,341,341,344,344,341,330,343,354,349,350,351,349,345,344,352,360,349,346,342,356,346,351,354,337,335,340,335,347,357,355,351,347,347,348,341,344,349,345,345,351,347,342,350,345,341,347,330,333,344,345,345,350,346,346,343,357,343,354,353,343,348,354,351,351,341,347,357,353,346,343,349,348,340,332,341,339,333,339,342,338,333,342,335,341,347,344,354,349,349,340,352,343,345,347,344
