,0,1,2,3,4,5,6,7,8,9
75,92.6,95.2,97.2,98.6,99.6,100.0,100.0,100.0,100.0,100.0
76,5.4,9.0,8.2,7.4,12.6,13.0,9.2,12.2,12.4,9.8
77,2.6,2.0,0.8,2.4,1.0,0.2,0.6,1.0,0.2,0.2
78,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
79,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0
80,16.4,19.0,35.0,44.2,50.6,63.0,74.0,84.8,90.2,93.0
81,81.2,87.2,92.8,94.0,96.8,98.0,98.6,98.8,99.6,99.4
82,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4
83,1.4,2.8,5.0,6.6,4.8,4.4,5.0,10.4,10.0,11.2
84,93.8,96.8,98.2,98.8,98.8,99.4,99.8,100.0,100.0,100.0
85,43.6,61.2,79.6,86.2,91.2,95.2,98.2,99.2,99.2,99.4
86,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
87,41.8,57.0,71.0,80.8,86.0,91.8,96.0,98.2,99.2,99.8
88,2.4,4.2,1.8,1.2,1.2,2.8,2.2,2.0,1.8,1.2
89,62.2,77.4,87.0,91.8,95.0,96.6,98.0,97.8,98.0,99.2
90,65.4,78.8,86.6,89.8,94.4,97.0,98.0,98.2,98.4,99.2
91,1.0,0.6,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.2
92,85.2,87.0,88.6,92.6,96.4,96.2,96.8,98.8,99.4,99.4
93,3.8,1.8,4.0,1.0,1.2,0.2,1.0,0.2,2.4,0.8
94,99.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95,0.0,2.8,1.8,1.6,1.2,1.8,1.0,0.2,1.6,1.4
96,18.2,24.4,33.8,43.0,58.4,63.6,73.6,83.4,89.6,93.6
97,15.8,25.8,26.4,40.6,51.8,65.0,74.8,84.0,90.8,95.4
98,80.8,88.8,89.8,92.8,95.6,97.6,98.2,98.8,99.2,99.8
99,94.0,96.0,97.8,98.6,99.0,99.0,99.4,99.8,100.0,100.0
0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,5.2,2.4,8.0,10.2,10.8,18.8,23.8,21.8,22.6,27.4
2,62.0,74.8,83.8,91.4,94.6,96.6,97.8,98.2,98.8,99.6
3,0.8,0.8,2.2,1.4,0.6,0.8,0.0,1.0,0.4,0.2
4,35.2,51.6,68.8,78.8,86.8,91.0,94.0,96.2,97.2,98.2
5,0.8,0.4,1.2,0.4,1.2,1.6,1.4,2.0,3.4,2.6
6,20.4,27.2,37.8,52.2,66.6,79.0,86.4,89.8,92.4,95.4
7,0.2,1.0,2.2,2.2,2.4,0.0,0.8,0.4,1.2,1.0
8,95.6,97.8,99.2,99.0,99.4,100.0,100.0,100.0,100.0,100.0
9,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.4
10,16.6,27.6,39.2,52.6,64.2,73.2,81.4,85.2,90.8,94.2
11,29.0,52.0,67.2,78.4,89.4,93.0,96.2,97.0,98.4,99.2
12,59.4,73.6,85.6,90.6,94.0,96.2,98.4,98.8,99.2,99.8
13,1.0,0.8,0.4,2.0,1.8,2.4,0.2,0.8,0.8,0.6
14,1.4,1.2,2.8,1.0,0.6,1.0,1.0,1.8,1.6,0.2
15,17.0,26.6,27.6,36.6,46.0,57.6,68.4,79.0,86.6,90.8
16,81.8,88.4,93.2,94.0,95.8,97.8,99.2,99.4,99.6,99.8
17,1.8,1.4,1.0,0.8,0.2,0.0,1.2,3.2,2.0,1.0
18,4.0,2.6,3.4,4.2,3.4,3.6,3.6,4.6,1.4,2.4
19,42.2,58.2,70.0,81.2,87.2,92.4,96.4,98.0,98.0,99.2
20,8.2,11.0,9.0,10.6,5.2,7.8,12.8,11.8,12.2,15.4
21,61.8,80.2,85.8,92.8,95.6,96.6,97.6,98.8,99.4,99.6
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,21.8,24.4,28.8,41.2,51.6,69.0,78.8,85.6,91.8,95.6
24,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,1.8,4.4,6.2,7.2,11.2,12.2,21.4,22.6,21.2,22.2
26,34.8,53.4,71.0,82.2,91.6,93.2,96.2,98.4,98.6,98.8
27,5.4,8.2,7.2,5.2,13.6,12.2,11.6,8.2,10.2,13.8
28,0.0,2.6,1.4,2.4,1.4,0.4,0.0,1.8,0.8,1.8
29,38.0,56.4,69.4,80.4,89.2,93.4,96.8,98.0,99.2,99.6
30,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,4.8,7.0,8.8,4.8,4.8,7.0,7.4,8.2,12.8,14.2
32,2.4,3.0,1.8,1.4,2.0,0.4,0.4,0.4,1.6,0.6
33,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
34,40.6,58.2,71.8,82.8,89.6,94.0,97.0,97.4,98.6,98.8
35,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,94.6,96.8,98.8,98.8,99.4,99.6,99.6,100.0,100.0,100.0
37,5.2,5.2,8.0,7.0,12.0,13.6,12.8,9.8,14.2,16.0
38,0.4,1.8,2.2,4.2,2.8,0.2,0.4,1.2,0.6,1.4
39,84.2,91.0,92.4,92.8,96.4,96.6,97.4,98.4,99.0,99.4
