BR,3,0.5661
BR,4,0.5074
BR,5,0.4400
BR,6,0.3886
BR,7,0.3610
BR,8,0.3285
BR,9,0.2790
BR,10,0.2676
ECV,3,0.6214
ECV,4,0.6180
ECV,5,0.6095
ECV,6,0.6159
ECV,7,0.5633
ECV,8,0.5610
ECV,9,0.5494
ECV,10,0.5503
FF,3,0.8319
FF,4,0.7475
FF,5,0.7188
FF,6,0.6932
FF,7,0.6777
FF,8,0.6595
FF,9,0.6473
FF,10,0.6403
BR,3,0.5661
BR,4,0.5074
BR,5,0.4400
BR,6,0.3886
BR,7,0.3610
BR,8,0.3285
BR,9,0.2790
BR,10,0.2676
ECV,3,0.6214
ECV,4,0.6180
ECV,5,0.6095
ECV,6,0.6159
ECV,7,0.5633
ECV,8,0.5610
ECV,9,0.5494
ECV,10,0.5503
FF,3,0.8319
FF,4,0.7475
FF,5,0.7188
FF,6,0.6932
FF,7,0.6777
FF,8,0.6595
FF,9,0.6473
FF,10,0.6403
BR,3,0.5661
BR,4,0.5074
BR,5,0.4400
BR,6,0.3886
BR,7,0.3610
BR,8,0.3285
BR,9,0.2790
BR,10,0.2676
ECV,3,0.6214
ECV,4,0.6180
ECV,5,0.6095
ECV,6,0.6159
ECV,7,0.5633
ECV,8,0.5610
ECV,9,0.5494
ECV,10,0.5503
FF,3,0.8319
FF,4,0.7475
FF,5,0.7188
FF,6,0.6932
FF,7,0.6777
FF,8,0.6595
FF,9,0.6473
FF,10,0.6403
