0,1,2,3,4,5,6,7,8,9
0.4998,0.5318,0.5536,0.5884,0.5974,0.675,0.702,0.7508,0.8362,0.9212
0.4872,0.5414,0.591,0.6642,0.7654,0.8432000000000001,0.8772,0.9226,0.9324,0.9416
0.508,0.502,0.5058,0.5308,0.5136,0.5132,0.507,0.5062,0.5264,0.5146
0.4914,0.5776,0.6412,0.6692,0.6868,0.7126,0.7222,0.7286,0.7276,0.7294
0.4948,0.4964,0.4964,0.4964,0.4964,0.4964,0.4964,0.4964,0.4964,0.4964
0.4918,0.5282,0.5442,0.5544,0.5642,0.569,0.5722,0.5714,0.5732,0.5732
0.499,0.5367999999999999,0.5588,0.5668,0.576,0.5792,0.5818,0.5818,0.5818,0.5818
0.4998,0.5126,0.5222,0.5332,0.5224,0.4954,0.4966,0.5008,0.4954,0.5174
0.4838,0.5252,0.5562,0.565,0.5684,0.579,0.5884,0.587,0.5892,0.5892
0.5036,0.5826,0.6646,0.7076,0.73,0.7554,0.7794,0.7932,0.8072,0.8078
0.4942,0.5734,0.6292,0.668,0.7092,0.7494,0.7562,0.7616,0.7652,0.7652
0.5044,0.5298,0.5327999999999999,0.509,0.501,0.5198,0.5312,0.5422,0.5282,0.533
0.5075999999999999,0.5192,0.5266,0.5266,0.5266,0.5266,0.5266,0.5266,0.5266,0.5266
0.5082,0.4992,0.4978,0.5046,0.5042,0.497,0.512,0.5095999999999999,0.5084,0.5216
0.4982,0.5062,0.5174,0.5078,0.5118,0.533,0.5086,0.5292,0.5154,0.5078
0.5026,0.5128,0.5176,0.532,0.5066,0.5136,0.5076,0.5242,0.5105999999999999,0.5234
0.5072,0.512,0.5362,0.5056,0.5232,0.5124,0.5294,0.506,0.5196,0.5044
0.4968,0.4968,0.4968,0.4968,0.4968,0.4968,0.4968,0.4968,0.4968,0.4968
0.4916,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495
0.4956,0.5158,0.5354,0.5236,0.5474,0.5448,0.5412,0.546,0.5454,0.5632
0.5026,0.5048,0.5222,0.513,0.5156,0.5104,0.5182,0.5212,0.5334,0.5454
0.494,0.5327999999999999,0.5568,0.5742,0.6244,0.6766,0.749,0.8308,0.884,0.9178000000000001
0.4908,0.5214,0.5208,0.5016,0.5146,0.5098,0.48919999999999997,0.5062,0.5048,0.502
0.4914,0.5656,0.6494,0.7508,0.8386,0.858,0.9166,0.9314,0.9502,0.9578
0.4966,0.5086,0.5124,0.5278,0.5064,0.5032,0.501,0.5212,0.5246,0.4992
0.4914,0.5852,0.664,0.7068,0.7418,0.7588,0.7698,0.7754,0.7936,0.7972
0.5044,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
0.4972,0.5002,0.5082,0.513,0.523,0.521,0.5278,0.5242,0.532,0.54
0.5024,0.5166,0.5208,0.5208,0.5208,0.5208,0.5208,0.5208,0.5208,0.5208
0.4968,0.4986,0.4986,0.4986,0.4986,0.4986,0.4986,0.4986,0.4986,0.4986
0.4972,0.509,0.5062,0.5128,0.5136,0.5222,0.5132,0.4914,0.5228,0.4992
0.4928,0.5308,0.581,0.6146,0.6656,0.7042,0.7814,0.8472000000000001,0.8918,0.9324
0.5068,0.5016,0.5098,0.5056,0.5198,0.534,0.5334,0.543,0.5388,0.5506
0.5252,0.5092,0.514,0.5182,0.4966,0.523,0.5004,0.5194,0.4954,0.4942
0.5032,0.5728,0.6362,0.6738,0.7062,0.7458,0.7538,0.7666,0.783,0.7904
0.503,0.5774,0.6468,0.7278,0.7948000000000001,0.8532,0.9036,0.9224,0.9428,0.9462
0.5174,0.5194,0.5194,0.5194,0.5194,0.5194,0.5194,0.5194,0.5194,0.5194
0.4792,0.5546,0.621,0.6722,0.7048,0.7182,0.728,0.742,0.7568,0.7702
0.5085999999999999,0.5376,0.554,0.5628,0.5644,0.5682,0.5702,0.5726,0.575,0.575
0.4928,0.5156,0.4908,0.5074,0.5306,0.5042,0.521,0.5112,0.5226,0.5094
0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076
0.503,0.5996,0.6784,0.7706000000000001,0.8372,0.8728,0.8918,0.923,0.9386,0.9466
0.4978,0.5036,0.5042,0.5068,0.5068,0.5068,0.5068,0.5068,0.5068,0.5068
0.4802,0.5188,0.526,0.4942,0.5114,0.5032,0.5216,0.501,0.509,0.52
0.4928,0.5808,0.6856,0.7286,0.77,0.8136,0.8466,0.8504,0.8606,0.865
0.4904,0.5632,0.6774,0.7546,0.8278,0.883,0.9312,0.9208,0.9312,0.9482
0.4918,0.5034,0.5236,0.5188,0.5202,0.5108,0.513,0.5085999999999999,0.5092,0.5024
0.481,0.5144,0.527,0.534,0.5348,0.5348,0.5348,0.5348,0.5348,0.5348
0.5012,0.5064,0.5288,0.5478,0.5308,0.5192,0.55,0.5228,0.5115999999999999,0.5478
0.5006,0.5648,0.6456,0.7378,0.8086,0.8558,0.8958,0.9006,0.925,0.927
