0,1,2,3,4,5,6,7,8,9
0.4844,0.5334,0.5216,0.531,0.5524,0.5448,0.5468,0.5292,0.5584,0.5736
0.4992,0.5174,0.5098,0.5136,0.521,0.5282,0.5026,0.5075999999999999,0.5194,0.5064
0.509,0.5908,0.6568,0.706,0.7386,0.781,0.8032,0.8182,0.8204,0.8226
0.5098,0.5108,0.524,0.5128,0.5064,0.516,0.509,0.518,0.5122,0.5036
0.48059999999999997,0.5,0.4958,0.5095999999999999,0.5085999999999999,0.5166,0.501,0.505,0.5062,0.5148
0.5002,0.534,0.5524,0.5674,0.571,0.5736,0.577,0.5764,0.5826,0.5826
0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482
0.506,0.5362,0.5966,0.6192,0.6786,0.7502,0.812,0.8598,0.9078,0.9174
0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997
0.4992,0.5784,0.6298,0.6694,0.7074,0.7262,0.74,0.7538,0.7634,0.7648
0.5058,0.5672,0.6618,0.7652,0.8008,0.8678,0.9014,0.9174,0.9364,0.9544
0.496,0.508,0.49219999999999997,0.5078,0.5076,0.5162,0.4892,0.5114,0.5046,0.4994
0.4784,0.4964,0.5112,0.52,0.5218,0.5256,0.5274,0.5292,0.5292,0.5292
0.488,0.531,0.5588,0.5722,0.6212,0.6704,0.7248,0.7628,0.8214,0.8556
0.4958,0.6072,0.6962,0.758,0.8164,0.8426,0.8632,0.8814,0.8964,0.8932
0.4988,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501
0.491,0.5126,0.503,0.5122,0.4854,0.523,0.516,0.5038,0.5376,0.5164
0.489,0.5188,0.5236,0.5152,0.526,0.5036,0.517,0.5194,0.5008,0.5142
0.5112,0.5238,0.527,0.527,0.527,0.527,0.527,0.527,0.527,0.527
0.497,0.5574,0.595,0.6646,0.7046,0.7898000000000001,0.8326,0.8892,0.9274,0.9428
0.4986,0.5798,0.6666,0.7056,0.763,0.8046,0.8222,0.8356,0.8404,0.8404
0.5075999999999999,0.6686,0.7694,0.8234,0.8522,0.8798,0.8954,0.9016,0.9136,0.9118
0.5076,0.604,0.7032,0.7476,0.7866,0.8156,0.8386,0.846,0.8578,0.8566
0.4886,0.5184,0.4948,0.5114,0.5012,0.5002,0.5048,0.5046,0.5062,0.49019999999999997
0.4906,0.5084,0.5322,0.5672,0.6388,0.7178,0.7728,0.851,0.8842,0.8982
0.49019999999999997,0.5044,0.509,0.5232,0.4904,0.5166,0.5066,0.5154,0.5114,0.5016
0.502,0.537,0.5662,0.5832,0.593,0.5948,0.5982,0.598,0.5998,0.5998
0.4866,0.496,0.4964,0.509,0.5266,0.525,0.4964,0.5244,0.5056,0.5068
0.4946,0.526,0.5558,0.5618,0.5618,0.5618,0.5618,0.5618,0.5618,0.5618
0.508,0.539,0.5382,0.5548,0.5428,0.5194,0.5272,0.5398,0.5372,0.541
0.48919999999999997,0.5412,0.5656,0.6114,0.6452,0.7318,0.7648,0.842,0.9,0.9380000000000001
0.519,0.5828,0.6798,0.741,0.8214,0.8636,0.899,0.9112,0.923,0.9324
0.4986,0.5154,0.5236,0.539,0.507,0.512,0.5088,0.5138,0.5316,0.522
0.4904,0.5136,0.522,0.5104,0.5102,0.5088,0.499,0.5034,0.5038,0.5138
0.494,0.5174,0.5286,0.5357999999999999,0.5386,0.535,0.5524,0.558,0.5612,0.557
0.52,0.5182,0.5184,0.5208,0.5024,0.5018,0.5062,0.516,0.5446,0.5352
0.4978,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008
0.5032,0.583,0.6306,0.6786,0.7226,0.75,0.7542,0.7662,0.7702,0.7734
0.4902,0.556,0.6496,0.7328,0.7846,0.8402000000000001,0.8884,0.9014,0.9074,0.9274
0.4958,0.5514,0.568,0.5936,0.606,0.6178,0.6268,0.6284,0.6284,0.6284
0.5172,0.5316,0.5248,0.5644,0.5708,0.5644,0.5912,0.6084,0.6152,0.59
0.4836,0.584,0.6758,0.7578,0.8046,0.8236,0.8458,0.862,0.863,0.8734
0.4962,0.4962,0.4962,0.4962,0.4962,0.4962,0.4962,0.4962,0.4962,0.4962
0.4936,0.5666,0.6786,0.7884,0.8326,0.8774,0.9266,0.9372,0.9434,0.9536
0.4868,0.5104,0.5008,0.515,0.5118,0.5085999999999999,0.5134,0.4896,0.5148,0.4918
0.5018,0.5958,0.6744,0.7186,0.7466,0.7716,0.7866,0.7942,0.7986,0.8012
0.502,0.5698,0.6522,0.7466,0.7886,0.8536,0.8872,0.9012,0.9304,0.9336
0.4934,0.5034,0.5052,0.5074,0.5178,0.5092,0.5056,0.5126,0.4924,0.5064
0.489,0.497,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499
0.5022,0.6248,0.7166,0.7466,0.78,0.8294,0.8412000000000001,0.8652,0.8722,0.883
0.5182,0.5408,0.5752,0.6372,0.677,0.7648,0.8192,0.8886000000000001,0.9308,0.9562
0.4948,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984,0.4984
0.4952,0.6,0.6776,0.7508,0.799,0.823,0.8426,0.8468,0.8502,0.8564
0.4884,0.5156,0.5222,0.4956,0.5204,0.5232,0.497,0.496,0.5118,0.5238
0.4998,0.5832,0.6596,0.7042,0.7356,0.7558,0.7664,0.785,0.8002,0.8138
0.5094,0.5118,0.5134,0.5008,0.51,0.5218,0.5098,0.4988,0.512,0.5156
0.4846,0.513,0.5434,0.5564,0.558,0.5598,0.5598,0.5598,0.5598,0.5598
0.504,0.5246,0.523,0.5174,0.5138,0.5186,0.4924,0.5036,0.4978,0.497
0.49219999999999997,0.4954,0.4954,0.4954,0.4954,0.4954,0.4954,0.4954,0.4954,0.4954
0.5026,0.5924,0.6744,0.7764,0.812,0.8642,0.8802,0.9014,0.9356,0.9448
0.4858,0.5244,0.519,0.5036,0.5085999999999999,0.519,0.5085999999999999,0.5006,0.5036,0.5048
0.5034,0.5095999999999999,0.5098,0.5118,0.5118,0.5118,0.5118,0.5118,0.5118,0.5118
0.4914,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503
0.5014,0.582,0.673,0.779,0.8486,0.8982,0.9248,0.929,0.9288,0.945
0.4904,0.5318,0.5446,0.5524,0.5609999999999999,0.5656,0.5654,0.5714,0.5714,0.5714
0.5062,0.515,0.5182,0.5182,0.5182,0.5182,0.5182,0.5182,0.5182,0.5182
0.4842,0.519,0.5416,0.5612,0.5712,0.5748,0.5776,0.5792,0.5792,0.5792
0.5038,0.5022,0.5096,0.5196,0.5115999999999999,0.5284,0.519,0.5276,0.5314,0.5226
0.5232,0.5236,0.5706,0.5788,0.6594,0.7226,0.783,0.8432000000000001,0.8958,0.9244
0.493,0.4974,0.5078,0.5132,0.5124,0.5154,0.5065999999999999,0.5102,0.5238,0.5126
0.4958,0.51,0.5142,0.5162,0.5162,0.5162,0.5162,0.5162,0.5162,0.5162
0.4914,0.4914,0.4914,0.4914,0.4914,0.4914,0.4914,0.4914,0.4914,0.4914
0.5002,0.5592,0.674,0.7584,0.8186,0.8756,0.9016,0.9168000000000001,0.944,0.9504
0.5022,0.514,0.5104,0.521,0.5176,0.538,0.5418,0.5592,0.5716,0.5852
0.5048,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076,0.5076
0.5052,0.5788,0.6302,0.6874,0.71,0.7276,0.7404,0.7558,0.7658,0.7724
0.4988,0.5294,0.5526,0.56,0.5662,0.5682,0.5682,0.5682,0.5682,0.5682
0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997,0.49319999999999997
0.5022,0.571,0.6376000000000001,0.684,0.7114,0.7374,0.745,0.7542,0.7678,0.7652
0.4886,0.576,0.6252,0.7366,0.8094,0.8606,0.903,0.916,0.9264,0.9374
0.4888,0.502,0.505,0.506,0.506,0.506,0.506,0.506,0.506,0.506
0.499,0.5166,0.5124,0.5226,0.5104,0.5056,0.5032,0.5078,0.4954,0.5282
0.4856,0.5104,0.5544,0.6008,0.663,0.7118,0.7674,0.853,0.8676,0.9062
0.4928,0.507,0.519,0.5288,0.5034,0.5126,0.5092,0.497,0.504,0.4982
0.4862,0.5218,0.507,0.5115999999999999,0.503,0.5242,0.5074,0.499,0.5134,0.5162
0.4916,0.5092,0.5244,0.512,0.5014,0.512,0.4998,0.5056,0.5022,0.5214
0.5085999999999999,0.622,0.6922,0.7346,0.7858,0.827,0.8482,0.8506,0.86,0.8828
