-2.631086349487304688e+01,4.214985370635986328e+00,5.737139225006103516e+00,2.017426109313964844e+01,3.590589761734008789e+00,1.676703453063964844e+01,1.885312652587890625e+01,-7.679343700408935547e+00,-3.133025884628295898e+00
-3.100458526611328125e+01,8.456598281860351562e+00,5.466146945953369141e+00,1.797196769714355469e+01,3.346514225006103516e+00,2.093206405639648438e+01,1.552157592773437500e+01,-6.812867164611816406e+00,-7.426252365112304688e+00
-3.096377944946289062e+01,8.068915367126464844e+00,5.244916915893554688e+00,1.836928749084472656e+01,2.990655183792114258e+00,2.064162063598632812e+01,1.612357521057128906e+01,-6.687194347381591797e+00,-7.034156799316406250e+00
-1.677232360839843750e+01,6.492332935333251953e+00,2.306151771545410156e+01,-8.851981163024902344e+00,1.575634670257568359e+01,1.941465950012207031e+01,6.127244234085083008e-02,-1.651520347595214844e+01,-2.152515983581542969e+01
-3.102545547485351562e+01,8.494324684143066406e+00,5.487639427185058594e+00,1.794798851013183594e+01,3.379893064498901367e+00,2.096945190429687500e+01,1.547924613952636719e+01,-6.826842784881591797e+00,-7.465785980224609375e+00
-3.129669189453125000e+01,8.749055862426757812e+00,5.654021263122558594e+00,1.789042663574218750e+01,3.577700138092041016e+00,2.126632881164550781e+01,1.526410770416259766e+01,-6.929505348205566406e+00,-7.801823139190673828e+00
-1.852219009399414062e+01,7.397675037384033203e+00,2.317411804199218750e+01,-8.551023483276367188e+00,1.576481056213378906e+01,2.063140869140625000e+01,-1.446915864944458008e-01,-1.649242591857910156e+01,-2.266484832763671875e+01
-1.342704677581787109e+01,3.475159883499145508e+00,2.240899467468261719e+01,-6.984966754913330078e+00,1.544294929504394531e+01,1.624256706237792969e+01,2.457181215286254883e+00,-1.649235153198242188e+01,-1.804224395751953125e+01
-2.116347122192382812e+01,8.535323143005371094e+00,2.191613197326660156e+01,-7.224333763122558594e+00,1.458904266357421875e+01,2.171884155273437500e+01,-4.048315882682800293e-01,-1.526869869232177734e+01,-2.378270530700683594e+01
-3.061398315429687500e+01,7.441524505615234375e+00,4.800879955291748047e+00,1.876548576354980469e+01,2.420315980911254883e+00,1.998207855224609375e+01,1.673107910156250000e+01,-6.380914211273193359e+00,-6.281423091888427734e+00
-3.082229423522949219e+01,7.602601051330566406e+00,4.917382240295410156e+00,1.876482009887695312e+01,2.541309118270874023e+00,2.019528770446777344e+01,1.665685653686523438e+01,-6.465880393981933594e+00,-6.486181735992431641e+00
